date,phase,lum_mean,lum_std
2024-02-19,xg,0.5785658021495361,0.056417168813487586
2024-02-20,xg,0.6759809339720966,0.05269949048163348
2024-02-21,xg,0.6076212139661895,0.06486202379580573
2024-02-23,fm,0.7161800726331156,0.004969622606010137
2024-02-25,fm,0.4519625865051903,0.02916968393411203
2024-02-26,wg,0.7157757801091447,0.009768033914929822
2024-02-27,wg,0.6520779400887574,0.0074038316354823365
2024-02-29,wg,0.5018387048979469,0.022293001814976808
2024-03-01,wg,0.3376885215794307,0.1955391146781374
2024-03-05,wc,0.30419182256235827,0.06080507015573179
2024-03-06,wc,0.2578759435700997,0.026015026849587182
